,DEPT,TVD,Incl,Azim Grid,Azim True,VSEC,AHD,NS,EW,DLS,Northing,Easting,Well
0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,-8.38,-0.35,,5157532.57,691819.06,Hebron 9301
1,174.6,174.6,0.0,0.0,1.82,0.0,0.0,-8.38,-0.35,0.0,5157532.57,691819.06,Hebron 9301
2,199.02,199.02,0.13,79.19,81.01,0.0,0.03,-8.37,-0.32,0.16,5157532.58,691819.09,Hebron 9301
3,220.52,220.52,0.07,121.93,123.75,0.0,0.06,-8.38,-0.29,0.13,5157532.57,691819.12,Hebron 9301
4,245.92,245.92,0.24,356.0,357.82,-0.04,0.12,-8.33,-0.28,0.34,5157532.62,691819.13,Hebron 9301
5,262.53,262.53,0.3,13.57,15.39,-0.12,0.19,-8.25,-0.27,0.18,5157532.69,691819.14,Hebron 9301
6,277.78,277.78,0.26,63.39,65.21,-0.17,0.26,-8.2,-0.23,0.47,5157532.75,691819.18,Hebron 9301
7,284.15,284.15,0.05,297.46,299.28,-0.17,0.28,-8.19,-0.22,1.38,5157532.76,691819.19,Hebron 9301
8,300.8,300.8,0.09,225.41,227.23,-0.17,0.3,-8.2,-0.24,0.16,5157532.75,691819.17,Hebron 9301
9,313.11,313.11,0.15,211.85,213.67,-0.15,0.32,-8.22,-0.25,0.16,5157532.73,691819.16,Hebron 9301
10,341.53,341.53,1.49,186.1,187.92,0.24,0.73,-8.62,-0.31,1.43,5157532.33,691819.1,Hebron 9301
11,370.83,370.8,3.1,182.9,184.72,1.4,1.9,-9.79,-0.39,1.65,5157531.16,691819.02,Hebron 9301
12,384.33,384.28,3.76,188.84,190.66,2.19,2.71,-10.59,-0.48,1.66,5157530.36,691818.93,Hebron 9301
13,398.3,398.22,3.99,197.46,199.28,3.08,3.65,-11.51,-0.69,1.34,5157529.44,691818.72,Hebron 9301
14,414.72,414.58,5.07,199.81,201.63,4.27,4.94,-12.73,-1.11,2.0,5157528.22,691818.3,Hebron 9301
15,426.84,426.64,6.24,201.74,203.56,5.34,6.14,-13.85,-1.54,2.93,5157527.1,691817.87,Hebron 9301
16,445.09,444.77,7.13,207.05,208.87,7.19,8.26,-15.78,-2.42,1.78,5157525.17,691816.99,Hebron 9301
